Time,"Device/SubDeviceList/RAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LHipYawPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/RKneePitch/Position/Actuator/Value","Device/SubDeviceList/LKneePitch/Position/Actuator/Value","Device/SubDeviceList/RHipRoll/Position/Actuator/Value","Device/SubDeviceList/LHipRoll/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LHipPitch/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/FrontRight/Sensor/Value","Device/SubDeviceList/LFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LAnklePitch/Position/Actuator/Value","Device/SubDeviceList/RHipPitch/Position/Actuator/Value","Device/SubDeviceList/RFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RFoot/FSR/RearLeft/Sensor/Value","Device/SubDeviceList/LFoot/FSR/FrontLeft/Sensor/Value","Device/SubDeviceList/LAnkleRoll/Position/Actuator/Value","Device/SubDeviceList/LFoot/FSR/RearRight/Sensor/Value","Device/SubDeviceList/RAnklePitch/Position/Actuator/Value"
0,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.158387,0.130325,-0.023071,1.5184,-0.66373
0.491124,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.158387,0.130557,-0.023071,1.5184,-0.66373
0.501205,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.51113,-0.66373
0.511245,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.51113,-0.66373
0.521248,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.1586,0.130093,-0.023071,1.51113,-0.66373
0.531203,-0.029866,-0.01174,0.263079,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0171027,0,-0.32887,-0.60538,0,0.1586,0.130325,-0.023071,1.51113,-0.66373
0.541359,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.4432,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.158813,0.130325,-0.023071,1.5184,-0.66373
0.551338,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158813,0.130325,-0.023071,1.51113,-0.66373
0.561419,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0178923,0,-0.32887,-0.60538,0,0.158387,0.130325,-0.023071,1.51113,-0.66373
0.571448,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.0175404,0,-0.32887,-0.60538,0,0.158813,0.130557,-0.023071,1.5184,-0.66373
0.581386,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.438983,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158813,0.130325,-0.023071,1.5184,-0.66373
0.591451,-0.029866,-0.01174,0.263079,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.1586,0.130325,-0.023071,1.5184,-0.66373
0.60146,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.159027,0.130325,-0.023071,1.5184,-0.66373
0.611533,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0170154,0,-0.32887,-0.60538,0,0.158387,0.130557,-0.023071,1.51113,-0.66373
0.621595,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.1586,0.131023,-0.023071,1.5184,-0.66373
0.63149,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0170154,0,-0.32887,-0.60538,0,0.158813,0.130093,-0.023071,1.5184,-0.66373
0.641605,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.439821,-0.8797,0.01719,0,-0.32887,-0.60538,0,0.158175,0.13149,-0.023071,1.51113,-0.66373
0.651548,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.017365,0,-0.32887,-0.60538,0,0.158387,0.131023,-0.023071,1.51113,-0.66373
0.66161,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.158813,0.13079,-0.023071,1.51113,-0.66373
0.671767,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.0178042,0,-0.32887,-0.60538,0,0.1586,0.130557,-0.023071,1.5184,-0.66373
0.681776,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158813,0.130325,-0.023071,1.5184,-0.66373
0.691982,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.159027,0.131023,-0.023071,1.51113,-0.66373
0.701872,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158387,0.130557,-0.023071,1.51113,-0.66373
0.711747,-0.029866,-0.01174,0.263453,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.1586,0.130557,-0.023071,1.51113,-0.66373
0.721805,-0.029866,-0.01174,0.263828,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0174526,0,-0.32887,-0.60538,0,0.158175,0.129631,-0.023071,1.5184,-0.66373
0.731708,-0.029866,-0.01174,0.264579,1.1549,1.0947,0.028663,0.019806,0.441506,-0.8797,0.0176282,0,-0.32887,-0.60538,0,0.158813,0.130093,-0.023071,1.51113,-0.66373
0.741786,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.442352,-0.8797,0.0177162,0,-0.32887,-0.60538,0,0.158813,0.131959,-0.023071,1.51113,-0.66373
0.751939,-0.029866,-0.01174,0.264203,1.1549,1.0947,0.028663,0.019806,0.440662,-0.8797,0.0172775,0,-0.32887,-0.60538,0,0.158813,0.131724,-0.023071,1.5184,-0.66373
