Time, RHipRoll/ , LKneePitch/ , LHipPitch/ , RKneePitch/ , LAnklePitch/ , LHipYawPitch/ , RAnkleRoll/ , RHipPitch/ , LHipRoll/ , LAnkleRoll/ , RAnklePitch/ 
0,0.0113568,1.14509,-0.674845,1.14553,-0.575766,-0.00175822,-0.0114214,-0.673348,0.0110895,-0.0114383,-0.577641
0.00992012,0.0162567,1.14272,-0.674889,1.14331,-0.573891,-0.00252694,-0.0163499,-0.672698,0.0158677,-0.0163714,-0.576648
0.020705,0.0211605,1.14031,-0.674934,1.14105,-0.571964,-0.00330013,-0.0212826,-0.672037,0.0206473,-0.0213078,-0.575631
0.030036,0.026351,1.13767,-0.675112,1.13854,-0.56976,-0.00413237,-0.026504,-0.671303,0.0256976,-0.0265302,-0.574474
0.0400741,0.0316645,1.13493,-0.675348,1.13592,-0.567438,-0.00498992,-0.0318491,-0.670537,0.030864,-0.0318752,-0.573256
0.0501931,0.0376278,1.1318,-0.675727,1.13284,-0.564662,-0.00596816,-0.0378484,-0.669636,0.0366528,-0.0378716,-0.571802
0.060133,0.0438695,1.12849,-0.676168,1.12958,-0.561691,-0.00699811,-0.0441281,-0.668678,0.0427083,-0.0441473,-0.570247
0.0700791,0.0506205,1.12487,-0.676803,1.12585,-0.558271,-0.00813253,-0.0509213,-0.66759,0.0492471,-0.0509336,-0.568457
0.0801051,0.0575898,1.12111,-0.677522,1.12191,-0.554659,-0.00931172,-0.0579347,-0.666448,0.0559929,-0.0579387,-0.566566
0.090167,0.065029,1.11705,-0.678498,1.11751,-0.550585,-0.0105939,-0.0654213,-0.665171,0.0631829,-0.0654163,-0.564433
0.100188,0.0726696,1.11287,-0.679584,1.11292,-0.546314,-0.0119202,-0.0731108,-0.663837,0.0705633,-0.0730964,-0.562195
0.110161,0.0806857,1.1085,-0.680995,1.10788,-0.541609,-0.0133383,-0.0811791,-0.662374,0.0782961,-0.0811561,-0.559724
0.120213,0.0888628,1.10404,-0.682545,1.10267,-0.536717,-0.0147958,-0.0894098,-0.660856,0.0861799,-0.0893783,-0.557152
0.130218,0.0972339,1.09957,-0.684475,1.09708,-0.531476,-0.0163187,-0.0978379,-0.659229,0.0942409,-0.0978003,-0.55438
0.140326,0.106534,1.09465,-0.686778,1.09077,-0.525546,-0.0180247,-0.107202,-0.657388,0.103192,-0.107159,-0.551237
0.150315,0.114998,1.09033,-0.689307,1.08475,-0.519921,-0.0196173,-0.115726,-0.655625,0.111333,-0.115689,-0.548211
0.160311,0.123465,1.08603,-0.691945,1.07865,-0.514238,-0.0212202,-0.124253,-0.65384,0.119476,-0.124226,-0.545142
0.170371,0.131771,1.08207,-0.695016,1.07238,-0.508477,-0.0228361,-0.132619,-0.652002,0.127463,-0.13262,-0.541965
0.180336,0.140037,1.07818,-0.698194,1.06606,-0.502696,-0.0244552,-0.140945,-0.65015,0.135411,-0.140978,-0.538761
0.19045,0.148018,1.0748,-0.701807,1.05966,-0.496965,-0.0260646,-0.148986,-0.648282,0.143085,-0.149075,-0.535502
0.200467,0.155927,1.07156,-0.705528,1.05323,-0.491247,-0.0276716,-0.156956,-0.646409,0.15069,-0.157106,-0.53223
0.210387,0.163463,1.06889,-0.709669,1.0468,-0.48569,-0.0292501,-0.16455,-0.64455,0.157947,-0.164791,-0.528951
0.220538,0.170906,1.06638,-0.713914,1.04037,-0.480174,-0.0308215,-0.172049,-0.642695,0.165117,-0.172389,-0.525671
0.230648,0.177917,1.06453,-0.718554,1.03405,-0.474914,-0.0323499,-0.179114,-0.640882,0.171891,-0.179585,-0.522429
0.240611,0.184819,1.06284,-0.723292,1.02776,-0.469719,-0.0338675,-0.186069,-0.63908,0.178565,-0.186681,-0.519197
0.250615,0.191263,1.06189,-0.72839,1.02167,-0.464854,-0.0353326,-0.192565,-0.637347,0.184823,-0.193352,-0.51604
0.260561,0.197591,1.06113,-0.733578,1.01563,-0.460071,-0.0367846,-0.198947,-0.635631,0.190977,-0.199918,-0.512903
0.270727,0.20347,1.06109,-0.739074,1.00983,-0.455652,-0.0381809,-0.204879,-0.634001,0.196728,-0.206076,-0.509867
0.28076,0.209236,1.06122,-0.744647,1.00409,-0.451324,-0.0395632,-0.210698,-0.632393,0.202379,-0.212132,-0.506855
0.290705,0.214585,1.06203,-0.750493,0.998604,-0.447355,-0.0408902,-0.216097,-0.630883,0.207661,-0.217814,-0.50396
0.300717,0.219831,1.06301,-0.756407,0.993184,-0.443476,-0.0422034,-0.221391,-0.629397,0.212852,-0.223402,-0.501093
0.310756,0.224703,1.0646,-0.762572,0.988025,-0.439924,-0.0434634,-0.226306,-0.628015,0.217715,-0.228652,-0.498352
0.32085,0.229483,1.06636,-0.768799,0.982932,-0.436453,-0.0447101,-0.231126,-0.626659,0.222497,-0.233818,-0.495642
0.330819,0.233916,1.06867,-0.775242,0.978119,-0.433277,-0.0459045,-0.235599,-0.625408,0.226978,-0.238671,-0.49306
0.340882,0.238263,1.07112,-0.781738,0.973376,-0.430175,-0.0470858,-0.239985,-0.624182,0.231385,-0.243447,-0.490511
0.350844,0.242292,1.07405,-0.788406,0.968921,-0.427333,-0.0482161,-0.244054,-0.623062,0.235516,-0.247937,-0.488093
0.361035,0.24624,1.07709,-0.795118,0.964537,-0.424555,-0.0493335,-0.248042,-0.621969,0.239578,-0.252356,-0.485707
0.370832,0.2499,1.08052,-0.801956,0.960433,-0.422001,-0.0504014,-0.25174,-0.620981,0.24339,-0.256515,-0.483455
0.381098,0.253487,1.08405,-0.808825,0.9564,-0.419501,-0.051457,-0.255364,-0.620019,0.24714,-0.260609,-0.481237
0.39096,0.25681,1.0879,-0.815773,0.952643,-0.417185,-0.052464,-0.258722,-0.619157,0.250658,-0.264458,-0.479152
0.400992,0.260066,1.09183,-0.822741,0.948956,-0.414914,-0.0534588,-0.262013,-0.61832,0.254118,-0.268245,-0.477099
0.411115,0.263078,1.09597,-0.829741,0.945539,-0.412788,-0.0544054,-0.265059,-0.617575,0.257362,-0.271802,-0.475177
0.421102,0.26603,1.10016,-0.836748,0.94219,-0.410698,-0.0553401,-0.268043,-0.616854,0.260552,-0.2753,-0.473288
0.431096,0.268757,1.10445,-0.843743,0.939099,-0.408715,-0.056227,-0.270802,-0.616221,0.263542,-0.278584,-0.471527
0.441087,0.271429,1.10876,-0.850734,0.936072,-0.406759,-0.057102,-0.273504,-0.615609,0.266483,-0.281815,-0.469799
0.45112,0.273896,1.11314,-0.85766,0.933288,-0.404869,-0.0579302,-0.275999,-0.615076,0.269231,-0.284843,-0.468192
0.461219,0.276312,1.11754,-0.86457,0.930564,-0.402995,-0.0587467,-0.278442,-0.614562,0.271931,-0.28782,-0.466616
0.471197,0.278541,1.12193,-0.871367,0.928067,-0.401152,-0.0595168,-0.280695,-0.614119,0.274446,-0.290601,-0.465156
0.481251,0.280724,1.12632,-0.878136,0.925628,-0.399317,-0.0602753,-0.282899,-0.613695,0.276916,-0.293334,-0.463726
0.491238,0.282928,1.13097,-0.885406,0.923187,-0.3973,-0.0610572,-0.285126,-0.613303,0.279437,-0.296122,-0.462282
0.501196,0.284696,1.13475,-0.891322,0.921235,-0.395651,-0.0616874,-0.286913,-0.612996,0.281465,-0.298364,-0.461124
0.511269,0.286675,1.13914,-0.898329,0.919071,-0.393604,-0.0624052,-0.288913,-0.612682,0.283754,-0.300898,-0.459827
0.521246,0.288436,1.1431,-0.904653,0.917149,-0.391736,-0.0630472,-0.290695,-0.61241,0.285796,-0.303159,-0.458671
0.531359,0.290029,1.14678,-0.910705,0.915433,-0.389808,-0.0636368,-0.292307,-0.612188,0.287652,-0.305219,-0.457626
0.5413,0.291603,1.15043,-0.916728,0.913739,-0.387873,-0.0642206,-0.293901,-0.611972,0.289487,-0.307256,-0.456593
0.551455,0.293021,1.15373,-0.922435,0.912237,-0.385852,-0.0647521,-0.295337,-0.611798,0.291134,-0.309094,-0.45567
0.561524,0.294422,1.15698,-0.928108,0.910755,-0.383821,-0.0652778,-0.296755,-0.611628,0.292761,-0.310909,-0.454758
0.571445,0.295677,1.15979,-0.933429,0.909444,-0.381683,-0.0657505,-0.298025,-0.611491,0.294208,-0.312525,-0.453946
0.581471,0.296915,1.16256,-0.938711,0.908151,-0.379533,-0.0662172,-0.299278,-0.611357,0.295636,-0.31412,-0.453145
0.59154,0.298016,1.16485,-0.943604,0.907013,-0.377258,-0.0666307,-0.300392,-0.611247,0.296886,-0.315517,-0.452437
0.6016,0.299101,1.16708,-0.948455,0.905892,-0.374969,-0.0670382,-0.30149,-0.611141,0.298117,-0.316892,-0.45174
0.611607,0.300057,1.16879,-0.952882,0.904916,-0.372539,-0.0673927,-0.30246,-0.611053,0.299169,-0.318074,-0.451135
