Time,RAnkleRoll,LHipYawPitch,RKneePitch,LKneePitch,RHipRoll,LHipRoll,LHipPitch,LAnklePitch,RHipPitch,LAnkleRoll,RAnklePitch,LFoot/FSR/FrontRight/Sensor/Value,LFoot/FSR/RearLeft/Sensor/Value,LFoot/FSR/FrontLeft/Sensor/Value,LFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/FrontLeft/Sensor/Value,RFoot/FSR/FrontRight/Sensor/Value,RFoot/FSR/RearRight/Sensor/Value,RFoot/FSR/RearLeft/Sensor/Value
0,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0228979,0.50168,0.217212,0,0.14958,0.521903,0.354399,0
0.0300372,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0227103,0.500408,0.216818,0,0.151492,0.526377,0.355521,0
0.0401762,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0243193,0.502957,0.218401,0,0.151685,0.525253,0.353839,0
0.0501442,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0232745,0.50168,0.219198,0,0.152846,0.524132,0.35051,0
0.0601981,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0238427,0.502957,0.221608,0,0.154017,0.524132,0.347771,0
0.0702181,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0236529,0.50424,0.222013,0,0.155198,0.523015,0.346143,0
0.080261,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0228979,0.50424,0.221204,0,0.155001,0.523015,0.347771,0
0.090282,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.02215,0.505529,0.221608,0,0.154607,0.523015,0.36064,0
0.100341,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0206747,0.50424,0.221608,0,0.154017,0.520794,0.360066,0
0.110313,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0211328,0.508123,0.22446,0,0.15441,0.518588,0.360066,0
0.120259,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0206747,0.509429,0.225283,0,0.155396,0.521903,0.357783,0
0.130377,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0199472,0.509429,0.224871,0,0.153431,0.524132,0.358352,0
0.140404,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0197664,0.510741,0.226524,0,0.155594,0.524132,0.358352,0
0.15042,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0193161,0.516046,0.227773,0,0.154214,0.520794,0.357783,0
0.160407,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.018601,0.516046,0.229451,0,0.155001,0.523015,0.357216,0
0.170448,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0187792,0.518735,0.23157,0,0.15619,0.524132,0.356085,0
0.180447,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0193161,0.518735,0.232852,0,0.15779,0.521903,0.355521,0
0.190546,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0185121,0.520089,0.233282,0,0.15619,0.521903,0.357216,0
0.200555,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0189578,0.521448,0.232852,0,0.156588,0.525253,0.356085,0
0.210618,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0190472,0.520089,0.234576,0,0.157388,0.525253,0.354959,0
0.220498,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0192264,0.520089,0.234143,0,0.157388,0.527506,0.354399,0
0.230651,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0189578,0.520089,0.234576,0,0.154607,0.527506,0.353839,0
0.24056,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0190472,0.524186,0.235878,0,0.15779,0.527506,0.354399,0
0.250635,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0191367,0.525564,0.238068,0,0.157589,0.528638,0.351062,0
0.260656,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.526949,0.237189,0,0.157589,0.528638,0.351615,0
0.270697,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.018601,0.525564,0.236751,0,0.15779,0.530916,0.351062,0
0.280709,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0185121,0.525564,0.238068,0,0.157991,0.530916,0.34996,0
0.29087,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.018601,0.526949,0.238509,0,0.158193,0.530916,0.348863,0
0.300888,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.52834,0.239838,0,0.15779,0.53206,0.349411,0
0.31088,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0184232,0.531141,0.238951,0,0.159612,0.533209,0.34996,0
0.32084,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.01869,0.529737,0.238951,0,0.15779,0.534362,0.354399,0
0.33092,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0181573,0.529737,0.237628,0,0.157188,0.53206,0.351062,0
0.340976,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0177162,0.532551,0.240729,0,0.15779,0.536681,0.354399,0
0.351054,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0180689,0.52834,0.238951,0,0.156988,0.53552,0.356085,0
0.361075,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0180689,0.529737,0.239394,0,0.157991,0.53552,0.356649,0
0.371084,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0176282,0.529737,0.239394,0,0.156588,0.537847,0.358922,0
0.381071,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0178923,0.52834,0.238509,0,0.157188,0.536681,0.364115,0
0.391234,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0179806,0.52834,0.238068,0,0.156788,0.536681,0.361216,0
0.401187,-0.000526706,-0.00164881,1.1504,1.1504,0.000506349,0.0007178,-0.6748,-0.5798,-0.6748,-0.000613999,-0.5798,0.0175404,0.531141,0.238068,0,0.156988,0.539017,0.358922,0
