Time, RHipRoll , LKneePitch , LHipPitch , RKneePitch , LAnklePitch , LHipYawPitch , RAnkleRoll , RHipPitch , LHipRoll , LAnkleRoll , RAnklePitch 
0,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.0197871,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.0299649,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.0398459,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.049952,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.059864,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.070004,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.079932,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.0900371,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.0999689,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.109988,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.120052,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.130035,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.140004,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.150097,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.160144,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.170129,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.180185,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.190235,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.200368,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.21029,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.220442,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.230376,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.240948,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.250577,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.260519,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.270605,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.280589,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.290647,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.300833,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.310679,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.320718,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
0.33077,-0.00176744,1.1504,-0.6748,1.1504,-0.5798,-0.000280321,0.00203754,-0.6748,0.00107142,-0.00105608,-0.5798
